competition_name,match_id,event_id,period,time,team_id,team_name,player_id,player_name,event_type,sub_event_type,tags,x,y,distance,angle,freekick,header,goal,xg,display_name
World_Cup,2057988,260662420,1H,825.666,3148,독일,3318,S. 케디라,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Goal high right', 'Accurate']",93.6,32.64,10.488546133759426,38.23670793375326,0,1,0,0.1071614092913288,"S. 케디라, 1H 13:45, xG: 0.107"
World_Cup,2057988,260662518,1H,1101.581,14855,대한민국,95490,정우영,Free kick,Free kick shot,"['Right foot', 'Direct', 'Opportunity', 'Position: Goal center', 'Accurate']",28.08,39.44,28.602097825159603,14.329020894692585,1,0,0,0.0974143712171342,"정우영, 1H 18:21, xG: 0.097"
World_Cup,2057988,260839866,1H,1144.624,14855,대한민국,107529,이용,Shot,Shot,"['Right foot', 'Position: Out high right', 'Not accurate']",30.16,43.52,31.626824058068173,12.6100504917414,0,0,0,0.014699825547963,"이용, 1H 19:04, xG: 0.015"
World_Cup,2057988,260662698,1H,1442.867,14855,대한민국,14911,손흥민,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out high right', 'Not accurate']",9.36,42.84,12.874595139265548,24.213164237182944,0,0,0,0.1357674851994589,"손흥민, 1H 24:02, xG: 0.136"
World_Cup,2057988,260662734,1H,1927.182,3148,독일,15024,M. 로이스,Shot,Shot,"['Left foot', 'Blocked', 'Not accurate']",82.16,33.32,21.850583516235904,19.00913296744959,0,0,0,0.0537474464650259,"M. 로이스, 1H 32:07, xG: 0.054"
World_Cup,2057988,260662853,1H,2288.665,3148,독일,173214,T. 베르너,Shot,Shot,"['Right foot', 'Blocked', 'Opportunity', 'Not accurate']",94.64,22.44,14.874246199387716,18.244365955591665,0,0,0,0.0912087397151828,"T. 베르너, 1H 38:08, xG: 0.091"
World_Cup,2057988,260662864,1H,2325.219,3148,독일,14795,M. 훔멜스,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",98.8,40.120000000000005,8.030840553765222,36.68278932165664,0,0,0,0.2875197333090738,"M. 훔멜스, 1H 38:45, xG: 0.288"
World_Cup,2057988,260662973,1H,2763.515,3148,독일,3319,M. 외질,Shot,Shot,"['Left foot', 'Blocked', 'Not accurate']",92.56,17.0,20.49081745563119,11.64095662730938,0,0,0,0.0383403987504489,"M. 외질, 1H 46:03, xG: 0.038"
World_Cup,2057988,260663262,1H,2869.025,14855,대한민국,14911,손흥민,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out low left', 'Not accurate']",22.879999999999995,44.2,25.05063671845488,15.25418087373291,0,0,0,0.0316777091188686,"손흥민, 1H 47:49, xG: 0.032"
World_Cup,2057988,260663328,2H,31.111,14855,대한민국,95490,정우영,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",29.120000000000005,26.52,30.06534217333973,13.461137043229389,0,0,0,0.0191726204582283,"정우영, 2H 00:31, xG: 0.019"
World_Cup,2057988,260663063,2H,120.847,3148,독일,134387,L. 고레츠카,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Goal center left', 'Accurate']",95.68,32.64,8.430421104547499,46.55837808545608,0,1,0,0.1584726108720948,"L. 고레츠카, 2H 02:00, xG: 0.158"
World_Cup,2057988,260663107,2H,223.81,3148,독일,14723,T. 크로스,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out low left', 'Not accurate']",72.8,37.400000000000006,31.38470965295044,13.227734643012996,0,0,0,0.0166037820644151,"T. 크로스, 2H 03:43, xG: 0.017"
World_Cup,2057988,260663159,2H,332.534,3148,독일,173214,T. 베르너,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out center left', 'Not accurate']",92.56,35.36,11.52055554216028,35.06011329900401,0,0,0,0.2175392170113692,"T. 베르너, 2H 05:32, xG: 0.218"
World_Cup,2057988,260663216,2H,490.913,3148,독일,224593,J. 키미히,Shot,Shot,"['Left foot', 'Blocked', 'Not accurate']",90.48,24.48,16.535440725907485,20.836980439429453,0,0,0,0.0879482994123736,"J. 키미히, 2H 08:10, xG: 0.088"
World_Cup,2057988,260663217,2H,492.017,3148,독일,3318,S. 케디라,Shot,Shot,"['Right foot', 'Blocked', 'Not accurate']",75.92,28.56,28.602097825159603,14.329020894692585,0,0,0,0.0223172741577277,"S. 케디라, 2H 08:12, xG: 0.022"
World_Cup,2057988,260663348,2H,949.586,3148,독일,14723,T. 크로스,Shot,Shot,"['Left foot', 'Blocked', 'Opportunity', 'Not accurate']",91.52,42.16,14.910935584328698,23.616067054764475,0,0,0,0.1185165438384875,"T. 크로스, 2H 15:49, xG: 0.119"
World_Cup,2057988,260663710,2H,1024.669,14855,대한민국,14911,손흥민,Shot,Shot,"['Right foot', 'Position: Out high right', 'Not accurate']",22.879999999999995,39.44,23.51782302850329,17.240573836863813,0,0,0,0.0416496579006475,"손흥민, 2H 17:04, xG: 0.042"
World_Cup,2057988,260663389,2H,1116.575,3148,독일,173214,T. 베르너,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out low left', 'Not accurate']",94.64,46.92,15.954184404099134,15.86143392023985,0,0,0,0.080880195667378,"T. 베르너, 2H 18:36, xG: 0.081"
World_Cup,2057988,260663463,2H,1353.801,3148,독일,14731,M. 고메스,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Goal high center', 'Accurate']",94.64,36.04,9.579728597408174,41.15964372590397,0,1,0,0.1264251690461839,"M. 고메스, 2H 22:33, xG: 0.126"
