player_name,Unnamed: 0,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate
M. Dembélé,343,5629,11152,1265.8,0,0,0,0,0,0,0,0,1,0,0,0,8,8,1.0,0,3,3,0.67,0,2,0,0,0
M. Diouf,1282,38628,30108,4317.2,0,0,0,1,0,0,1,0,1,2,0,0,5,3,0.6,0,0,5,0.4,0,2,0,0,0
M. Fellaini,729,5629,8249,2105.2,0,0,0,0,0,0,0,0,1,0,0,0,23,20,0.87,0,2,10,0.7,2,7,0,0,0
M. Gavranović,698,6697,15199,3048.7,0,0,0,1,1,1,0,0,0,1,0,0,6,5,0.83,1,0,5,1.0,0,5,0,0,0
M. Hasebe,1249,25826,29858,11460.4,0,0,0,1,0,1,0,0,4,0,1,0,149,131,1.76,0,11,21,1.15,1,12,0,0,0
M. Hassen,385,16276,149050,900.0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.6,0,0,0,0.0,0,0,8,6,0
M. Hosseini,1597,32520,856614,13001.8,0,0,0,0,0,0,0,0,1,0,0,0,40,34,2.68,0,9,3,0.33,6,1,0,0,0
M. Jedinak,1727,25479,25230,17195.5,2,0,0,7,3,4,0,3,5,0,1,0,165,143,2.56,0,18,23,1.77,2,13,0,0,0
M. Jørgensen,1195,15424,111958,6578.6,0,0,0,0,0,0,0,0,1,0,1,0,34,29,1.85,0,7,15,0.67,3,10,0,0,0
M. Konaté,443,19314,97582,1200.8,0,0,0,1,1,0,1,0,0,0,0,0,4,4,1.0,0,0,1,1.0,0,1,0,0,0
M. Kovačić,1899,28794,208212,6884.6,0,1,0,3,1,2,0,1,2,0,0,0,86,86,3.0,0,3,23,2.21,1,16,0,0,0
M. Lang,302,6697,49977,602.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0.5,0,2,3,0.0,0,0,0,0,0
M. Layún,1044,30946,224732,11461.4,0,0,0,6,2,6,0,0,1,0,0,0,45,39,1.7599999999999998,2,5,17,1.3199999999999998,2,12,0,0,0
M. Leckie,1730,25479,45060,17195.5,0,0,0,5,1,0,2,3,6,0,1,0,76,51,1.9899999999999998,0,16,65,2.05,4,44,0,0,0
M. Lustig,1126,14094,123898,11717.9,0,0,0,0,0,0,0,0,1,0,0,0,61,47,1.53,0,15,10,1.0,4,5,0,0,0
M. Mandžukić,816,19196,29886,10795.9,0,0,0,5,0,1,1,3,7,0,1,0,42,29,1.3900000000000001,1,9,28,0.8600000000000001,3,13,0,0,0
M. Meza,1900,36822,439377,12229.6,0,0,0,3,1,1,2,0,3,1,0,0,92,77,2.5300000000000002,1,7,39,1.72,1,25,0,0,0
M. Milligan,1748,25479,184275,17195.5,0,0,0,0,0,0,0,0,3,0,1,0,246,232,2.83,0,10,15,2.13,10,11,0,0,0
M. Mohammadi,1530,21680,667606,4097.200000000001,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1.06,0,6,19,1.6,1,15,0,0,0
M. Murillo,1194,35858,722996,11612.7,0,0,0,1,1,1,0,0,6,0,2,0,82,61,1.5,0,7,19,1.36,0,13,0,0,0
M. Niang,1290,38628,51796,9714.8,1,1,0,6,4,3,3,0,4,2,1,0,52,40,1.5699999999999998,3,5,29,1.46,1,21,0,0,0
M. Pazdan,1310,27738,198876,10743.4,0,0,0,0,0,0,0,0,1,0,0,0,154,134,1.72,0,9,10,1.5699999999999998,3,7,0,0,0
M. Pjaca,1289,19196,271620,4759.3,0,0,0,1,0,1,0,0,1,0,1,0,26,21,1.5,1,0,19,1.44,0,10,0,0,0
M. Plattenhardt,262,3148,15125,4762.6,0,0,0,1,1,0,1,0,0,0,0,0,24,24,1.0,0,0,3,0.67,1,2,0,0,0
M. Pouraliganji,1585,32520,238347,17744.5,0,0,0,0,0,0,0,0,0,0,0,0,56,46,2.52,0,12,11,1.26,8,5,0,0,0
M. Rashford,376,2413,397178,1596.8,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0.88,1,0,8,0.62,0,5,0,0,0
M. Rojo,1259,24548,203304,11558.3,1,0,0,2,1,1,1,0,2,0,0,0,137,126,1.8199999999999998,0,5,15,1.6099999999999999,4,12,0,0,0
M. Ryan,1739,25479,184170,17195.5,0,0,0,0,0,0,0,0,0,0,0,0,95,90,2.84,0,4,0,0.0,1,0,14,9,0
M. Rybus,1308,27738,198782,11708.4,0,0,0,1,1,0,1,0,2,2,0,0,64,56,1.75,2,16,25,1.04,6,13,0,0,0
M. Shojaei,56,10840,3509,4072.7,0,0,0,0,0,0,0,0,3,0,1,0,16,11,0.69,0,1,17,0.71,0,12,0,0,0
M. Taremi,1579,32520,237960,13671.8,0,0,0,3,0,0,1,2,4,1,0,0,37,27,2.44,0,19,28,2.09,5,17,0,0,0
M. Trauco,1854,46782,345438,17346.5,0,0,0,0,0,0,0,0,2,0,0,0,174,144,2.49,1,17,45,2.11,5,32,0,0,0
M. Ureña,891,33742,203592,7329.200000000001,0,0,0,2,1,1,1,0,4,2,0,0,19,13,1.45,0,0,20,0.95,0,9,0,0,0
M. Vecino,1461,47010,349047,14640.8,0,0,0,2,0,2,0,0,5,0,0,0,204,178,2.63,1,18,23,1.73,1,15,0,0,0
M. Wagué,1306,38628,750696,11455.4,1,0,0,1,1,1,0,0,1,0,0,0,77,63,1.64,0,12,15,1.19,1,9,0,0,0
M. Yoshida,1240,25826,1406,11460.4,0,0,0,1,0,0,0,1,4,0,0,0,159,139,1.73,0,10,10,1.17,8,6,0,0,0
M. da Costa,1568,48648,304860,12678.3,0,0,0,2,0,1,0,1,2,0,1,0,79,62,2.37,0,11,11,0.8700000000000001,7,5,0,0,0
M. 고메스,1039,6296,29462,4015.7999999999997,0,0,0,3,2,1,0,2,0,1,0,0,6,4,1.5,0,0,0,0.0,0,0,0,0,0
M. 노이어,1033,6296,29424,11593.9,0,0,0,0,0,0,0,0,0,0,0,0,49,44,1.81,0,5,0,0.0,1,0,9,7,0
M. 로이스,1048,6296,30048,7991.299999999999,1,0,0,3,1,2,1,0,1,0,0,0,74,60,1.6600000000000001,2,6,12,1.23,0,7,0,0,0
M. 외질,253,3148,3319,5651.2,0,0,0,1,0,0,1,0,0,0,0,0,76,67,0.88,1,1,9,0.56,0,5,0,0,0
M. 훔멜스,259,3148,14795,5651.2,0,0,0,1,1,0,1,0,3,0,1,0,35,33,0.94,0,7,8,0.5,3,4,0,0,0
Mahmoud Kahraba,1423,48387,359796,3798.7,0,0,0,0,0,0,0,0,2,0,0,0,19,14,2.44,0,3,11,1.44,1,5,0,0,0
Marcelo,921,12760,6620,11850.2,0,0,0,3,1,1,2,0,0,0,0,0,190,157,1.63,1,11,28,1.73,2,24,0,0,0
Marco Asensio,1530,3196,576182,2301.2,0,0,0,1,0,0,0,1,0,0,0,0,16,12,1.53,0,0,6,1.75,0,5,0,0,0
Marwan Mohsen,1440,48387,360675,12755.6,0,0,0,4,1,1,0,3,4,1,0,0,35,22,1.88,1,10,35,2.04,4,23,0,0,0
Maxi Gómez,918,15670,395636,141.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0.0,0,0,0,0,0
Min-Woo Kim,1082,29710,190598,9117.9,0,0,0,1,0,1,0,0,3,0,0,0,48,34,1.4100000000000001,0,4,10,0.86,5,6,0,0,0
Mohamed Abdel-Shafi,1429,48387,359925,17554.2,0,0,0,0,0,0,0,0,2,0,0,0,150,126,2.52,0,16,32,2.38,4,25,0,0,0
Mohamed El Shenawy,510,32258,240000,11483.4,0,0,0,0,0,0,0,0,0,0,0,0,27,22,1.62,0,4,1,1.0,0,1,9,5,0
Mohamed Elneny,1444,48387,361017,15690.9,0,0,0,3,0,3,0,0,3,0,0,0,111,102,2.74,1,9,13,1.0,2,4,0,0,0
Mohamed Salah,1396,32258,240706,11716.7,2,0,0,6,2,0,6,0,1,3,0,0,42,32,1.52,1,4,29,1.17,0,16,0,0,0
Mohammad Al Sahlawi,539,33042,245342,6177.0,0,0,0,2,0,0,2,0,2,0,0,0,9,9,2.0,0,0,10,1.53,0,8,0,0,0
Mohammed Al Burayk,1501,49563,878862,17636.1,0,0,0,3,0,3,0,0,0,0,0,0,219,185,2.5300000000000002,0,17,35,2.27,4,26,0,0,0
Mohammed Al Owais,527,16521,248328,5762.8,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0.79,0,0,0,0.0,0,0,4,3,0
Mohammed Kanno,528,16521,284147,1197.8,0,0,0,1,1,0,0,1,1,0,0,0,6,5,0.83,0,1,3,0.67,0,2,0,0,0
Motaz Hawsawi,943,16521,139391,6070.8,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0.9,0,2,7,0.71,0,5,0,0,0
Muhannad Asiri,956,33042,245498,2534.9,0,0,0,1,1,0,0,1,0,0,0,0,3,1,1.0,0,1,0,0.0,1,0,0,0,0
Munir,1549,48648,19527,17681.0,0,0,0,0,0,0,0,0,1,0,1,0,46,40,2.64,0,1,0,0.0,1,0,9,5,0
Mário Fernandes,1341,43074,123369,14970.599999999999,0,1,0,0,0,0,0,0,0,1,0,0,100,86,2.5700000000000003,0,13,26,1.63,6,19,0,0,0
N. Amrabat,1565,48648,98904,16240.8,0,0,0,1,0,1,0,0,9,1,1,0,78,59,2.2199999999999998,1,10,68,2.2,2,48,0,0,0
N. Chadli,339,5629,261,305.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.33,0,0,1,0.0,0,0,0,0,0
N. Dirar,1496,32432,298148,11798.099999999999,0,0,0,1,0,1,0,0,4,0,0,0,76,69,1.8,0,15,33,1.12,3,18,0,0,0
N. Fekir,1720,13254,84345,4048.0,0,0,0,3,1,0,3,0,0,0,0,0,30,24,2.35,0,1,27,2.11,2,19,0,0,0
N. Jørgensen,734,15424,30160,10008.3,0,1,0,2,0,0,1,1,3,2,0,0,32,20,1.28,0,2,19,1.29,1,12,0,0,0
N. Kanté,1724,13254,94584,17274.5,0,0,0,0,0,0,0,0,4,0,0,0,190,176,2.77,1,28,47,1.98,4,32,0,0,0
N. Matić,958,34644,140244,11843.7,0,0,0,2,0,1,1,0,5,0,1,0,76,69,1.79,1,8,41,1.3599999999999999,1,28,0,0,0
N. Milenković,973,34644,848482,11843.7,0,0,0,0,0,0,0,0,1,0,0,0,70,60,1.69,0,8,8,1.33,7,6,0,0,0
N. Nández,1468,47010,898854,8782.2,0,0,0,0,0,0,0,0,2,0,0,0,78,65,2.55,1,2,29,2.05,0,20,0,0,0
N. Otamendi,1885,36822,210258,17330.3,0,0,0,4,1,1,0,3,3,0,1,0,209,193,2.77,0,11,28,2.1,7,19,0,0,0
