match_id,team_id,team_name,player_id,player_name,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy
2057955,16129,Egypt,119932,Mahmoud Kahraba,2083.9,0,0,0,0,0,0,0,0,1,0,0,0,13,9,0.69
2057955,16129,Egypt,119951,Ahmed Hegazy,5837.5,0,0,0,0,0,0,0,0,1,0,1,0,47,35,0.74
2057955,16129,Egypt,119975,Mohamed Abdel-Shafi,5837.5,0,0,0,0,0,0,0,0,1,0,0,0,52,43,0.83
2057955,16129,Egypt,120000,Mohamed El Shenawy,5837.5,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0.87
2057955,16129,Egypt,120156,Ahmed Fathy,5837.5,0,0,0,1,1,1,0,0,1,0,0,0,43,37,0.86
2057955,16129,Egypt,120167,Abdallah Said,5837.5,0,0,0,0,0,0,0,0,0,0,0,0,56,43,0.77
2057955,16129,Egypt,120225,Marwan Mohsen,3753.7,0,0,0,1,1,1,0,0,1,1,0,0,11,7,0.64
2057955,16129,Egypt,120339,Mohamed Elneny,5837.5,0,0,0,2,0,2,0,0,2,0,0,0,48,44,0.92
2057955,16129,Egypt,198120,Ali Gabr,5837.5,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0.9
2057955,16129,Egypt,220112,Trézéguet,5837.5,0,0,0,2,1,2,0,0,1,0,0,0,37,32,0.86
2057955,16129,Egypt,332605,Ramadan Sobhi,903.9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.75
2057955,16129,Egypt,388928,Amr Warda,4933.7,0,0,0,0,0,0,0,0,1,0,0,0,26,17,0.65
2057955,16129,Egypt,437417,Tarek Hamed,3013.7,0,0,0,1,0,1,0,0,1,0,0,0,31,26,0.84
2057961,10840,Iran,3509,M. Shojaei,4072.7,0,0,0,0,0,0,0,0,3,0,1,0,16,11,0.69
2057961,10840,Iran,53562,S. Ghoddos,840.2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.0
2057961,10840,Iran,78991,O. Ebrahimi,4742.7,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0.96
2057961,10840,Iran,79006,S. Azmoun,5882.9,0,0,0,2,1,2,0,0,0,0,0,0,21,14,0.67
2057961,10840,Iran,79098,R. Rezaeian,5882.9,0,0,0,0,0,0,0,0,2,0,0,0,21,12,0.57
2057961,10840,Iran,79149,K. Ansarifard,5882.9,0,0,0,0,0,0,0,0,2,0,1,0,16,10,0.62
2057961,10840,Iran,79248,E. Hajsafi,5882.9,0,0,0,2,0,1,1,0,0,0,0,0,22,9,0.41
2057961,10840,Iran,79320,M. Taremi,1810.2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1.0
2057961,10840,Iran,79381,A. Jahanbakhsh,5042.7,0,0,0,2,1,2,0,0,2,0,1,0,21,14,0.67
2057961,10840,Iran,79449,M. Pouraliganji,5882.9,0,0,0,0,0,0,0,0,0,0,0,0,23,16,0.7
2057961,10840,Iran,237836,V. Amiri,5882.9,0,0,0,0,0,0,0,0,2,0,0,0,20,13,0.65
2057961,10840,Iran,238031,A. Beiranvand,5882.9,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0.82
2057961,10840,Iran,272829,R. Cheshmi,5882.9,0,0,0,1,0,1,0,0,0,0,0,0,12,11,0.92
2057961,10840,Iran,285538,M. Hosseini,1140.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0
2057961,16216,Morocco,142,K. El Ahmadi,5882.9,0,0,0,0,0,0,0,0,3,0,1,0,40,37,0.92
2057961,16216,Morocco,6509,Munir,5882.9,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0.92
2057961,16216,Morocco,15727,A. Bouhaddouz,1380.2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1.0
2057961,16216,Morocco,20579,M. Benatia,5882.9,0,0,0,1,1,0,1,0,1,0,0,0,85,76,0.89
2057961,16216,Morocco,25998,Y. Belhanda,5882.9,0,0,0,3,0,1,1,1,1,0,0,0,47,40,0.85
2057961,16216,Morocco,26226,R. Saïss,5882.9,0,0,0,1,0,0,0,1,2,0,0,0,69,63,0.91
2057961,16216,Morocco,32968,N. Amrabat,4442.7,0,0,0,0,0,0,0,0,3,0,0,0,31,24,0.77
2057961,16216,Morocco,101620,M. da Costa,880.2,0,0,0,1,0,1,0,0,0,0,0,0,6,5,0.83
2057961,16216,Morocco,101846,M. Boussoufa,5882.9,0,0,0,0,0,0,0,0,0,0,0,0,44,37,0.84
2057961,16216,Morocco,221039,H. Ziyech,5882.9,0,0,0,2,1,0,2,0,5,0,0,0,47,39,0.83
2057961,16216,Morocco,285590,S. Amrabat,1440.2,0,0,0,0,0,0,0,0,2,0,0,0,5,5,1.0
2057961,16216,Morocco,372915,A. Harit,5002.7,0,0,0,3,1,3,0,0,1,0,0,0,25,19,0.76
2057961,16216,Morocco,396475,A. Hakimi,5882.9,0,0,0,1,0,1,0,0,1,0,0,0,29,27,0.93
2057961,16216,Morocco,552555,A. El Kaabi,4502.7,0,0,0,1,0,0,1,0,2,0,0,0,3,2,0.67
2057960,1598,Spain,3269,Jordi Alba,5753.8,0,0,0,0,0,0,0,0,1,1,0,0,76,68,0.89
2057960,1598,Spain,3304,Nacho,5753.8,1,0,0,1,1,1,0,0,3,0,0,0,49,46,0.94
2057960,1598,Spain,3306,Sergio Ramos,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,114,113,0.99
2057960,1598,Spain,3341,Piqué,5753.8,0,0,0,0,0,0,0,0,2,0,0,0,73,70,0.96
