competition_name,match_id,event_id,period,time,team_id,team_name,player_id,player_name,event_type,sub_event_type,tags,x,y,distance,angle,freekick,header,goal,xg,display_name
World_Cup,2057988,260663758,2H,2206.528,3148,Germany,14732,T. Müller,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Out high left', 'Not accurate']",94.64,29.240000000000002,10.500819015676823,35.27094835074408,0,1,0,0.09610296789670374,"T. Müller, 2H 36:46, xG: 0.096"
World_Cup,2057988,260663784,2H,2263.504,3148,Germany,15024,M. Reus,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Out high left', 'Not accurate']",80.08,25.16,25.501215657297596,15.371433022119302,0,0,0,0.030886459071747877,"M. Reus, 2H 37:43, xG: 0.031"
World_Cup,2057988,260663805,2H,2331.263,3148,Germany,146583,J. Brandt,Shot,Shot,"['Right foot', 'Blocked', 'Opportunity', 'Not accurate']",93.60000000000001,46.92,16.585728805210817,16.22014671693359,0,0,0,0.07725737384473916,"J. Brandt, 2H 38:51, xG: 0.077"
World_Cup,2057988,260663807,2H,2334.846,3148,Germany,14723,T. Kroos,Shot,Shot,"['Right foot', 'Position: Out high right', 'Not accurate']",76.96000000000001,38.760000000000005,27.455768064288414,14.966559104011795,0,0,0,0.02668233840832987,"T. Kroos, 2H 38:54, xG: 0.027"
World_Cup,2057988,260663858,2H,2485.111,3148,Germany,14795,M. Hummels,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Out high right', 'Not accurate']",96.72,33.32,7.311689271297025,53.06272672579524,0,1,0,0.20302672949886813,"M. Hummels, 2H 41:25, xG: 0.203"
World_Cup,2057988,260663886,2H,2559.8,3148,Germany,14723,T. Kroos,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Goal low left', 'Accurate']",86.32000000000001,35.36,17.732230542151196,23.26319871408521,0,0,0,0.09211746261220485,"T. Kroos, 2H 42:39, xG: 0.092"
World_Cup,2057988,260664123,2H,2589.172,14855,Korea Republic,95490,Woo-Young Jung,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Goal center right', 'Accurate']",30.159999999999997,29.239999999999995,30.53331295486947,13.509774707699368,0,0,0,0.01835802227427827,"Woo-Young Jung, 2H 43:09, xG: 0.018"
World_Cup,2057988,260664139,2H,2646.297,14855,Korea Republic,299121,Jae-Sung Lee,Shot,Shot,"['Left foot', 'Blocked', 'Not accurate']",20.799999999999997,38.08,21.196377048920407,19.25423141308113,0,0,0,0.056740615793629226,"Jae-Sung Lee, 2H 44:06, xG: 0.057"
World_Cup,2057988,260664143,2H,2767.867,14855,Korea Republic,95200,Young-Gwon Kim,Shot,Shot,"['Goal', 'Left foot', 'Opportunity', 'Position: Goal high right', 'Accurate']",4.159999999999997,38.76,6.321645355443467,48.8964474270654,0,0,1,0.39877360496602676,"Young-Gwon Kim, 2H 46:07, xG: 0.399"
World_Cup,2057988,260663949,2H,2966.066,3148,Germany,14795,M. Hummels,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Out high left', 'Not accurate']",97.76,24.48,11.382794033101009,21.463817652245318,0,1,0,0.05545543901879653,"M. Hummels, 2H 49:26, xG: 0.055"
World_Cup,2057988,260664166,2H,3051.602,14855,Korea Republic,14911,Son Heung-Min,Shot,Shot,"['Goal', 'Counter attack', 'Left foot', 'Opportunity', 'Position: Goal low center', 'Accurate']",5.200000000000003,26.519999999999996,9.109906695460722,28.67589923417213,0,0,1,0.2198889144975289,"Son Heung-Min, 2H 50:51, xG: 0.22"
World_Cup,2057988,260663992,2H,3147.087,3148,Germany,14732,T. Müller,Shot,Shot,"['Right foot', 'Blocked', 'Not accurate']",84.24000000000001,36.720000000000006,19.946327982864407,20.617500474615248,0,0,0,0.06878381116500272,"T. Müller, 2H 52:27, xG: 0.069"
World_Cup,2057988,260664000,2H,3158.236,3148,Germany,146583,J. Brandt,Shot,Shot,"['Right foot', 'Opportunity', 'Position: Goal center left', 'Accurate']",88.4,30.6,15.966214329013619,25.30464162395032,0,0,0,0.11293931228757616,"J. Brandt, 2H 52:38, xG: 0.113"
World_Cup,2057988,260664014,2H,3186.065,3148,Germany,14795,M. Hummels,Shot,Shot,"['Left foot', 'Blocked', 'Not accurate']",93.60000000000001,40.120000000000005,12.0670791826357,29.93217063346266,0,0,0,0.18156224580687655,"M. Hummels, 2H 53:06, xG: 0.182"
World_Cup,2057988,260664031,2H,3219.998,3148,Germany,14795,M. Hummels,Shot,Shot,"['Head/body', 'Opportunity', 'Position: Out high left', 'Not accurate']",96.72,36.720000000000006,7.77153781435824,48.587843742316906,0,1,0,0.17668834268920872,"M. Hummels, 2H 53:39, xG: 0.177"
